127.0.0.1 - - [23/May/2018:20:21:18 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/May/2018:20:21:20 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [23/May/2018:20:21:20 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/May/2018:20:21:20 -0300] "GET /relatorios/faces/img/logo.png HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [23/May/2018:20:21:20 -0300] "GET /relatorios/faces/resources/js/Funcoes.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [23/May/2018:20:23:01 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [23/May/2018:20:23:01 -0300] "GET /relatorios/faces/img/logo.png HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [23/May/2018:20:23:01 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [23/May/2018:20:26:29 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [23/May/2018:20:26:29 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [23/May/2018:20:26:52 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [23/May/2018:20:26:52 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [23/May/2018:20:28:45 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [23/May/2018:20:28:45 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [23/May/2018:20:29:26 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [23/May/2018:20:29:26 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 1190
0:0:0:0:0:0:0:1 - - [23/May/2018:20:30:40 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [23/May/2018:20:30:40 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [23/May/2018:20:30:56 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [23/May/2018:20:30:56 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:31:30 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/May/2018:20:31:30 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:32:48 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [23/May/2018:20:32:48 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:35:49 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [23/May/2018:20:35:49 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:35:50 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 200 282349
0:0:0:0:0:0:0:1 - - [23/May/2018:20:36:56 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [23/May/2018:20:36:56 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:36:56 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [23/May/2018:20:37:51 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [23/May/2018:20:37:51 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:37:51 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:03 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1653
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:04 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:16 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:16 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:16 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:27 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:27 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:37 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1651
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:39 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:38:39 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:05 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:05 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:05 -0300] "GET /relatorios/faces/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:31 -0300] "GET /relatorios/faces/Filtro.xhtml HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [23/May/2018:20:40:31 -0300] "GET /relatorios/faces/resources/css/style.css HTTP/1.1" 304 -
